timestamp,policy,trained_on,episode,success,note
2026-09-02T10:00:00+00:00,act,10,1,0,missed grasp
2026-09-02T10:00:30+00:00,act,10,2,0,
2026-09-02T10:01:00+00:00,act,10,3,1,
2026-09-02T10:01:30+00:00,act,10,4,0,knocked cup
2026-09-02T10:02:00+00:00,act,10,5,1,
2026-09-02T10:10:00+00:00,act,20,1,1,
2026-09-02T10:10:30+00:00,act,20,2,1,
2026-09-02T10:11:00+00:00,act,20,3,0,
2026-09-02T10:11:30+00:00,act,20,4,1,
2026-09-02T10:12:00+00:00,act,20,5,1,
2026-09-02T10:20:00+00:00,act,40,1,1,
2026-09-02T10:20:30+00:00,act,40,2,1,
2026-09-02T10:21:00+00:00,act,40,3,1,
2026-09-02T10:21:30+00:00,act,40,4,1,
2026-09-02T10:22:00+00:00,act,40,5,0,released early
2026-09-02T11:20:00+00:00,diffusion,40,1,1,
2026-09-02T11:20:30+00:00,diffusion,40,2,1,
2026-09-02T11:21:00+00:00,diffusion,40,3,1,
2026-09-02T11:21:30+00:00,diffusion,40,4,1,
2026-09-02T11:22:00+00:00,diffusion,40,5,1,
